nomor_pkk,nomor_spb
PKK.DN.IDBDJ.2503.001283,SPB.IDBDJ.0325.0002442
PKK.DN.IDBDJ.2503.001280,SPB.IDBDJ.0325.0002441
PKK.DN.IDSTU.2503.000428,SPB.IDSTU.0325.0000496
PKK.DN.IDBDJ.2502.002591,SPB.IDBDJ.0325.0002438
PKK.DN.IDBDJ.2502.002590,SPB.IDBDJ.0325.0002437
PKK.DN.IDGRE.2503.000278,SPB.IDGRE.0325.0000584
PKK.DN.IDGRE.2503.000277,SPB.IDGRE.0325.0000583
PKK.DN.IDBDJ.2503.002059,SPB.IDBDJ.0325.0002432
PKK.DN.IDSMQ.2503.000097,SPB.IDSMQ.0325.0000315
PKK.DN.IDSMQ.2503.000227,SPB.IDSMQ.0325.0000314
PKK.DN.IDSTU.2503.000429,SPB.IDSTU.0325.0000495
PKK.LN.IDSRG.2503.000185,SPB.IDSRG.0325.0000221
PKK.DN.IDSMQ.2503.000131,SPB.IDSMQ.0325.0000317
PKK.DN.IDSMQ.2503.000132,SPB.IDSMQ.0325.0000316
PKK.DN.IDGRE.2503.000310,SPB.IDGRE.0325.0000582
PKK.DN.IDBOA.2503.001838,SPB.IDBOA.0325.0001911
PKK.DN.IDBOA.2503.001876,SPB.IDBOA.0325.0001910
PKK.DN.IDSMQ.2503.000226,SPB.IDSMQ.0325.0000313
PKK.DN.IDBDJ.2503.001131,SPB.IDBDJ.0325.0002431
PKK.DN.IDBDJ.2503.001125,SPB.IDBDJ.0325.0002430
PKK.DN.IDBOA.2503.000121,SPB.IDBOA.0325.0001909
PKK.DN.IDBDJ.2503.001098,SPB.IDBDJ.0325.0002428
PKK.DN.IDBDJ.2503.002174,SPB.IDBDJ.0325.0002427
PKK.DN.IDBDJ.2503.001688,SPB.IDBDJ.0325.0002425
PKK.DN.IDBDJ.2503.001690,SPB.IDBDJ.0325.0002426
PKK.DN.IDBDJ.2503.002173,SPB.IDBDJ.0325.0002424
PKK.DN.IDKBU.2503.000399,SPB.IDKBU.0325.0000521
PKK.DN.IDSUB.2503.000315,SPB.IDSUB.0325.0000746
PKK.DN.IDGRE.2503.000308,SPB.IDGRE.0325.0000580
PKK.LN.IDGRE.2503.000521,SPB.IDGRE.0325.0000579
PKK.DN.IDSMQ.2503.000204,SPB.IDSMQ.0325.0000306
PKK.DN.IDBDJ.2503.001100,SPB.IDBDJ.0325.0002429
PKK.DN.IDSMQ.2503.000133,SPB.IDSMQ.0325.0000312
PKK.DN.IDKBU.2503.000398,SPB.IDKBU.0325.0000520
PKK.DN.IDGRE.2503.000107,SPB.IDGRE.0325.0000581
PKK.DN.IDSUB.2503.000694,SPB.IDSUB.0325.0000745
PKK.DN.IDSMQ.2503.000205,SPB.IDSMQ.0325.0000307
PKK.DN.IDSUB.2503.000704,SPB.IDSUB.0325.0000744
PKK.DN.IDSTU.2503.000352,SPB.IDSTU.0325.0000489
PKK.DN.IDBDJ.2503.001907,SPB.IDBDJ.0325.0002423
PKK.DN.IDBDJ.2503.001908,SPB.IDBDJ.0325.0002422
PKK.DN.IDSTU.2503.000350,SPB.IDSTU.0325.0000488
PKK.DN.IDKBU.2503.000521,SPB.IDKBU.0325.0000519
PKK.DN.IDSTU.2503.000351,SPB.IDSTU.0325.0000487
PKK.DN.IDKBU.2503.000522,SPB.IDKBU.0325.0000518
PKK.DN.IDSTU.2503.000264,SPB.IDSTU.0325.0000485
PKK.DN.IDSTU.2503.000265,SPB.IDSTU.0325.0000484
PKK.LN.IDSUB.2503.000707,SPB.IDSUB.0325.0000743
PKK.DN.IDBDJ.2503.002316,SPB.IDBDJ.0325.0002416
PKK.DN.IDBDJ.2503.002089,SPB.IDBDJ.0325.0002415
PKK.DN.IDBDJ.2503.002319,SPB.IDBDJ.0325.0002417
